X,Y,Shorter
-200,-200,D
-200,-199,D
-200,-198,D
-200,-197,D
-200,-196,D
-200,-195,D
-200,-194,D
-200,-193,D
-200,-192,D
-200,-191,D
-200,-190,D
-200,-189,D
-200,-188,D
-200,-187,D
-200,-186,D
-200,-185,D
-200,-184,D
-200,-183,D
-200,-182,D
-200,-181,D
-200,-180,D
-200,-179,D
-200,-178,D
-200,-177,D
-200,-176,D
-200,-175,D
-200,-174,D
-200,-173,D
-200,-172,D
-200,-171,D
-200,-170,D
-200,-169,D
-200,-168,D
-200,-167,D
-200,-166,D
-200,-165,D
-200,-164,D
-200,-163,D
-200,-162,D
-200,-161,D
-200,-160,D
-200,-159,D
-200,-158,D
-200,-157,D
-200,-156,D
-200,-155,D
-200,-154,D
-200,-153,D
-200,-152,D
-200,-151,D
-200,-150,D
-200,-149,D
-200,-148,D
-200,-147,D
-200,-146,D
-200,-145,D
-200,-144,D
-200,-143,D
-200,-142,D
-200,-141,D
-200,-140,D
-200,-139,D
-200,-138,D
-200,-137,D
-200,-136,D
-200,-135,D
-200,-134,D
-200,-133,D
-200,-132,D
-200,-131,D
-200,-130,D
-200,-129,D
-200,-128,D
-200,-127,D
-200,-126,D
-200,-125,D
-200,-124,D
-200,-123,D
-200,-122,D
-200,-121,D
-200,-120,D
-200,-119,D
-200,-118,D
-200,-117,D
-200,-116,D
-200,-115,D
-200,-114,D
-200,-113,D
-200,-112,D
-200,-111,D
-200,-110,D
-200,-109,D
-200,-108,D
-200,-107,D
-200,-106,D
-200,-105,D
-200,-104,D
-200,-103,D
-200,-102,D
-200,-101,D
-200,-100,D
-200,-99,D
-200,-98,D
-200,-97,D
-200,-96,D
-200,-95,D
-200,-94,D
-200,-93,D
-200,-92,D
-200,-91,D
-200,-90,D
-200,-89,D
-200,-88,D
-200,-87,D
-200,-86,D
-200,-85,D
-200,-84,D
-200,-83,D
-200,-82,H
-200,-81,H
-200,-80,H
-200,-79,H
-200,-78,H
-200,-77,H
-200,-76,H
-200,-75,H
-200,-74,H
-200,-73,H
-200,-72,H
-200,-71,H
-200,-70,H
-200,-69,H
-200,-68,H
-200,-67,H
-200,-66,H
-200,-65,H
-200,-64,H
-200,-63,H
-200,-62,H
-200,-61,H
-200,-60,H
-200,-59,H
-200,-58,H
-200,-57,H
-200,-56,H
-200,-55,H
-200,-54,H
-200,-53,H
-200,-52,H
-200,-51,H
-200,-50,H
-200,-49,H
-200,-48,H
-200,-47,H
-200,-46,H
-200,-45,H
-200,-44,H
-200,-43,H
-200,-42,H
-200,-41,H
-200,-40,H
-200,-39,H
-200,-38,H
-200,-37,H
-200,-36,H
-200,-35,H
-200,-34,H
-200,-33,H
-200,-32,H
-200,-31,H
-200,-30,H
-200,-29,H
-200,-28,H
-200,-27,H
-200,-26,H
-200,-25,H
-200,-24,H
-200,-23,H
-200,-22,H
-200,-21,H
-200,-20,H
-200,-19,H
-200,-18,H
-200,-17,H
-200,-16,H
-200,-15,H
-200,-14,H
-200,-13,H
-200,-12,H
-200,-11,H
-200,-10,H
-200,-9,H
-200,-8,H
-200,-7,H
-200,-6,H
-200,-5,H
-200,-4,H
-200,-3,H
-200,-2,H
-200,-1,H
-200,0,H
-200,1,H
-200,2,H
-200,3,H
-200,4,H
-200,5,H
-200,6,H
-200,7,H
-200,8,H
-200,9,H
-200,10,H
-200,11,H
-200,12,H
-200,13,H
-200,14,H
-200,15,H
-200,16,H
-200,17,H
-200,18,H
-200,19,H
-200,20,H
-200,21,H
-200,22,H
-200,23,H
-200,24,H
-200,25,H
-200,26,H
-200,27,H
-200,28,H
-200,29,H
-200,30,H
-200,31,H
-200,32,H
-200,33,H
-200,34,H
-200,35,H
-200,36,H
-200,37,H
-200,38,H
-200,39,H
-200,40,H
-200,41,H
-200,42,H
-200,43,H
-200,44,H
-200,45,H
-200,46,H
-200,47,H
-200,48,H
-200,49,H
-200,50,H
-200,51,H
-200,52,H
-200,53,H
-200,54,H
-200,55,H
-200,56,H
-200,57,H
-200,58,H
-200,59,H
-200,60,H
-200,61,H
-200,62,H
-200,63,H
-200,64,H
-200,65,H
-200,66,H
-200,67,H
-200,68,H
-200,69,H
-200,70,H
-200,71,H
-200,72,H
-200,73,H
-200,74,H
-200,75,H
-200,76,H
-200,77,H
-200,78,H
-200,79,H
-200,80,H
-200,81,H
-200,82,H
-200,83,D
-200,84,D
-200,85,D
-200,86,D
-200,87,D
-200,88,D
-200,89,D
-200,90,D
-200,91,D
-200,92,D
-200,93,D
-200,94,D
-200,95,D
-200,96,D
-200,97,D
-200,98,D
-200,99,D
-200,100,D
-200,101,D
-200,102,D
-200,103,D
-200,104,D
-200,105,D
-200,106,D
-200,107,D
-200,108,D
-200,109,D
-200,110,D
-200,111,D
-200,112,D
-200,113,D
-200,114,D
-200,115,D
-200,116,D
-200,117,D
-200,118,D
-200,119,D
-200,120,D
-200,121,D
-200,122,D
-200,123,D
-200,124,D
-200,125,D
-200,126,D
-200,127,D
-200,128,D
-200,129,D
-200,130,D
-200,131,D
-200,132,D
-200,133,D
-200,134,D
-200,135,D
-200,136,D
-200,137,D
-200,138,D
-200,139,D
-200,140,D
-200,141,D
-200,142,D
-200,143,D
-200,144,D
-200,145,D
-200,146,D
-200,147,D
-200,148,D
-200,149,D
-200,150,D
-200,151,D
-200,152,D
-200,153,D
-200,154,D
-200,155,D
-200,156,D
-200,157,D
-200,158,D
-200,159,D
-200,160,D
-200,161,D
-200,162,D
-200,163,D
-200,164,D
-200,165,D
-200,166,D
-200,167,D
-200,168,D
-200,169,D
-200,170,D
-200,171,D
-200,172,D
-200,173,D
-200,174,D
-200,175,D
-200,176,D
-200,177,D
-200,178,D
-200,179,D
-200,180,D
-200,181,D
-200,182,D
-200,183,D
-200,184,D
-200,185,D
-200,186,D
-200,187,D
-200,188,D
-200,189,D
-200,190,D
-200,191,D
-200,192,D
-200,193,D
-200,194,D
-200,195,D
-200,196,D
-200,197,D
-200,198,D
-200,199,D
-200,200,D
-199,-200,D
-199,-199,D
-199,-198,D
-199,-197,D
-199,-196,D
-199,-195,D
-199,-194,D
-199,-193,D
-199,-192,D
-199,-191,D
-199,-190,D
-199,-189,D
-199,-188,D
-199,-187,D
-199,-186,D
-199,-185,D
-199,-184,D
-199,-183,D
-199,-182,D
-199,-181,D
-199,-180,D
-199,-179,D
-199,-178,D
-199,-177,D
-199,-176,D
-199,-175,D
-199,-174,D
-199,-173,D
-199,-172,D
-199,-171,D
-199,-170,D
-199,-169,D
-199,-168,D
-199,-167,D
-199,-166,D
-199,-165,D
-199,-164,D
-199,-163,D
-199,-162,D
-199,-161,D
-199,-160,D
-199,-159,D
-199,-158,D
-199,-157,D
-199,-156,D
-199,-155,D
-199,-154,D
-199,-153,D
-199,-152,D
-199,-151,D
-199,-150,D
-199,-149,D
-199,-148,D
-199,-147,D
-199,-146,D
-199,-145,D
-199,-144,D
-199,-143,D
-199,-142,D
-199,-141,D
-199,-140,D
-199,-139,D
-199,-138,D
-199,-137,D
-199,-136,D
-199,-135,D
-199,-134,D
-199,-133,D
-199,-132,D
-199,-131,D
-199,-130,D
-199,-129,D
-199,-128,D
-199,-127,D
-199,-126,D
-199,-125,D
-199,-124,D
-199,-123,D
-199,-122,D
-199,-121,D
-199,-120,D
-199,-119,D
-199,-118,D
-199,-117,D
-199,-116,D
-199,-115,D
-199,-114,D
-199,-113,D
-199,-112,D
-199,-111,D
-199,-110,D
-199,-109,D
-199,-108,D
-199,-107,D
-199,-106,D
-199,-105,D
-199,-104,D
-199,-103,D
-199,-102,D
-199,-101,D
-199,-100,D
-199,-99,D
-199,-98,D
-199,-97,D
-199,-96,D
-199,-95,D
-199,-94,D
-199,-93,D
-199,-92,D
-199,-91,D
-199,-90,D
-199,-89,D
-199,-88,D
-199,-87,D
-199,-86,D
-199,-85,D
-199,-84,D
-199,-83,D
-199,-82,H
-199,-81,H
-199,-80,H
-199,-79,H
-199,-78,H
-199,-77,H
-199,-76,H
